gene	uniprot
HGD76_24535	A0A6H2C5X2
HGD76_21435	A0A6H2C5X8
HGD76_21550	A0A6H2C5Z8
HGD76_21970	A0A6H2C626
HGD76_23895	A0A6H2C645
HGD76_10755	A0A6H2C651
HGD76_23330	A0A6H2C653
HGD76_22455	A0A6H2C6A4
HGD76_24270	A0A6H2C6A7
HGD76_00670	A0A6H2C6C3
HGD76_17660	A0A6H2C6E8
HGD76_22780	A0A6H2C6F5
HGD76_22610	A0A6H2C6J0
HGD76_08320	A0A6H2C6M8
HGD76_22915	A0A6H2C6P0
HGD76_23160	A0A6H2C6S9
HGD76_23210	A0A6H2C6U0
HGD76_23920	A0A6H2C6Z4
HGD76_16905	A0A6H2C721
HGD76_08815	A0A6H2C752
HGD76_19105	A0A6H2C761
HGD76_20805	A0A6H2C781
HGD76_24200	A0A6H2C7A0
HGD76_24250	A0A6H2C7B0
HGD76_13900	A0A6H2C7B4
HGD76_17065	A0A6H2C7X2
HGD76_21455	A0A6H2C892
HGD76_00045	A0A6H2BTG6
HGD76_00065	A0A6H2BTH5
HGD76_00175	A0A6H2BTI7
HGD76_00495	A0A6H2BTN4
HGD76_00555	A0A6H2BTP3
HGD76_00855	A0A6H2BTU2
HGD76_00905	A0A6H2BTU6
HGD76_01235	A0A6H2BTZ6
HGD76_01355	A0A6H2BU18
HGD76_01785	A0A6H2BU85
HGD76_01800	A0A6H2BU92
HGD76_01975	A0A6H2BUB9
HGD76_02045	A0A6H2BUC9
HGD76_02260	A0A6H2BUG4
HGD76_00080	A0A6H2BUI2
HGD76_02495	A0A6H2BUK5
HGD76_00300	A0A6H2BUL2
HGD76_00375	A0A6H2BUM1
HGD76_00055	A0A6H2BUN8
HGD76_02840	A0A6H2BUR1
HGD76_00040	A0A6H2BUV5
HGD76_00930	A0A6H2BUW4
HGD76_03240	A0A6H2BUX1
HGD76_03290	A0A6H2BUY3
HGD76_00730	A0A6H2BUY8
HGD76_03365	A0A6H2BUZ5
HGD76_01320	A0A6H2BV20
HGD76_00165	A0A6H2BV42
HGD76_01095	A0A6H2BV48
HGD76_00720	A0A6H2BV56
HGD76_03790	A0A6H2BV63
HGD76_03805	A0A6H2BV66
HGD76_03850	A0A6H2BV72
HGD76_00010	A0A6H2BV80
HGD76_00070	A0A6H2BV90
HGD76_03985	A0A6H2BV92
HGD76_04110	A0A6H2BVB5
HGD76_01530	A0A6H2BVB6
HGD76_01585	A0A6H2BVC7
HGD76_00305	A0A6H2BVF1
HGD76_00380	A0A6H2BVG1
HGD76_04385	A0A6H2BVG4
HGD76_00620	A0A6H2BVH0
HGD76_01470	A0A6H2BVH8
HGD76_01285	A0A6H2BVL1
HGD76_04690	A0A6H2BVL7
HGD76_01340	A0A6H2BVM2
HGD76_02630	A0A6H2BVM9
HGD76_01410	A0A6H2BVN2
HGD76_01465	A0A6H2BVP1
HGD76_02750	A0A6H2BVP9
HGD76_00940	A0A6H2BVQ0
HGD76_02805	A0A6H2BVQ9
HGD76_02545	A0A6H2BVS2
HGD76_02090	A0A6H2BVS3
HGD76_05115	A0A6H2BVT3
HGD76_00060	A0A6H2BVT7
HGD76_03010	A0A6H2BVT9
HGD76_01200	A0A6H2BVU1
HGD76_05295	A0A6H2BVW5
HGD76_01545	A0A6H2BVX3
HGD76_02410	A0A6H2BVX6
HGD76_02910	A0A6H2BVY0
HGD76_05435	A0A6H2BVY5
HGD76_05475	A0A6H2BVY7
HGD76_01420	A0A6H2BVZ0
HGD76_02085	A0A6H2BVZ2
HGD76_02165	A0A6H2BW03
HGD76_05585	A0A6H2BW07
HGD76_03105	A0A6H2BW08
HGD76_00160	A0A6H2BW15
HGD76_05640	A0A6H2BW16
HGD76_03555	A0A6H2BW27
HGD76_02405	A0A6H2BW42
HGD76_00850	A0A6H2BW53
HGD76_05890	A0A6H2BW59
HGD76_02140	A0A6H2BW60
HGD76_02885	A0A6H2BW62
HGD76_05950	A0A6H2BW64
HGD76_03460	A0A6H2BW68
HGD76_05965	A0A6H2BW72
HGD76_02075	A0A6H2BW85
HGD76_00645	A0A6H2BW86
HGD76_06155	A0A6H2BW95
HGD76_03165	A0A6H2BWA3
HGD76_02210	A0A6H2BWA4
HGD76_03795	A0A6H2BWB9
HGD76_02880	A0A6H2BWC0
HGD76_03285	A0A6H2BWC2
HGD76_02330	A0A6H2BWC5
HGD76_03025	A0A6H2BWD7
HGD76_01485	A0A6H2BWE7
HGD76_03085	A0A6H2BWE8
HGD76_06535	A0A6H2BWE9
HGD76_04295	A0A6H2BWF2
HGD76_03450	A0A6H2BWF3
HGD76_01535	A0A6H2BWF5
HGD76_06585	A0A6H2BWF7
HGD76_06570	A0A6H2BWF8
HGD76_06625	A0A6H2BWG7
HGD76_06640	A0A6H2BWG8
HGD76_03225	A0A6H2BWG9
HGD76_04100	A0A6H2BWH1
HGD76_02860	A0A6H2BWI0
HGD76_04215	A0A6H2BWJ2
HGD76_04275	A0A6H2BWK0
HGD76_03785	A0A6H2BWK5
HGD76_06935	A0A6H2BWL6
HGD76_01985	A0A6H2BWM4
HGD76_03260	A0A6H2BWP0
HGD76_01630	A0A6H2BWP3
HGD76_01690	A0A6H2BWQ3
HGD76_03835	A0A6H2BWR9
HGD76_03550	A0A6H2BWU3
HGD76_07445	A0A6H2BWU5
HGD76_05200	A0A6H2BWV1
HGD76_03435	A0A6H2BWV9
HGD76_03490	A0A6H2BWW8
HGD76_03560	A0A6H2BWX5
HGD76_07660	A0A6H2BWY1
HGD76_04670	A0A6H2BWZ6
HGD76_03765	A0A6H2BX04
HGD76_02400	A0A6H2BX08
HGD76_03955	A0A6H2BX11
HGD76_07905	A0A6H2BX15
HGD76_04775	A0A6H2BX16
HGD76_05650	A0A6H2BX19
HGD76_08075	A0A6H2BX44
HGD76_08125	A0A6H2BX54
HGD76_05045	A0A6H2BX55
HGD76_05625	A0A6H2BX73
HGD76_08255	A0A6H2BX75
HGD76_05685	A0A6H2BX83
HGD76_06130	A0A6H2BX84
HGD76_08325	A0A6H2BX88
HGD76_04405	A0A6H2BX91
HGD76_08390	A0A6H2BX97
HGD76_06250	A0A6H2BXA2
HGD76_05345	A0A6H2BXA5
HGD76_04310	A0A6H2BXA7
HGD76_03360	A0A6H2BXA9
HGD76_06325	A0A6H2BXB2
HGD76_03080	A0A6H2BXB4
HGD76_04580	A0A6H2BXC0
HGD76_05510	A0A6H2BXC6
HGD76_03470	A0A6H2BXC8
HGD76_06490	A0A6H2BXD2
HGD76_06075	A0A6H2BXE0
HGD76_06545	A0A6H2BXE2
HGD76_08685	A0A6H2BXE5
