(+)-Limonene	CC1=CCC(CC1)C(=C)C
10-methyl-3-oxo-dodecanoyl-ACP	
10-methyl-3-oxo-undecanoyl-ACP	
10-methyl-dodecanoyl-ACP	
10-methyl-trans-dodec-2-enoyl-ACP	
10-methyl-trans-undec-2-enoyl-ACP	
10-methyl-undecanoyl-ACP	
11-cis-Retinol	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
11-cis-Retinyl palmitate	CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C
11-methyl-3-hydroxy-dodecanoyl-ACP	
11-methyl-3-oxo-dodecanoyl-ACP	
11-methyl-dodecanoyl-ACP	
11-methyl-trans-dodec-2-enoyl-ACP	
12-methyl-3-hydroxy-tetra-decanoyl-ACP	
12-methyl-3-oxo-tetra-decanoyl-ACP	
12-methyl-3-oxo-tridecanoyl-ACP	
12-methyl-tetra-decanoyl-ACP	
12-methyl-trans-tetra-dec-2-enoyl-ACP	
12-methyl-trans-tridec-2-enoyl-ACP	
12-methyl-tridecanoyl-ACP	
13(1)-Hydroxy-Mg-protoporphyrin IX 13-monomethyl ester	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C(CC(=O)OC)O)C)C(=C3C)C=C)C=C.[Mg+2]
13(1)-Oxo-Mg-protoporphyrin IX 13-monomethyl ester	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C(=O)CC(=O)OC)C)C(=C3C)C=C)C=C.[Mg+2]
13-methyl-3-hydroxy-tetra-decanoyl-ACP	
13-methyl-3-oxo-tetra-decanoyl-ACP	
13-methyl-tetra-decanoyl-ACP	
13-methyl-trans-tetra-dec-2-enoyl-ACP	
14-methyl-3-hydroxy-hexa-decanoyl-ACP	
14-methyl-3-oxo-hexa-decanoyl-ACP	
14-methyl-3-oxo-pentadecanoyl-ACP	
14-methyl-hexa-decanoyl-ACP	
14-methyl-pentadecanoyl-ACP	
14-methyl-trans-hexa-dec-2-enoyl-ACP	
14-methyl-trans-pentadec-2-enoyl-ACP	
15-methyl-3-hydroxy-hexa-decanoyl-ACP	
15-methyl-3-oxo-hexa-decanoyl-ACP	
15-methyl-hexa-decanoyl-ACP	
15-methyl-trans-hexa-dec-2-enoyl-ACP	
16-Methoxy-2,3-dihydro-3-hydroxytabersonine	CCC12CC(C3C4(C1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)(C(=O)OC)O
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O
2'-Hydroxydaidzein	C1=CC(=C(C=C1O)O)C2=COC3=C(C2=O)C=CC(=C3)O
2'-Hydroxydihydrodaidzein	C1C(C(=O)C2=C(O1)C=C(C=C2)O)C3=C(C=C(C=C3)O)O
2,2-Dichloroacetaldehyde	C(=O)C(Cl)Cl
2,2-Dichlorooxirane	C1C(O1)(Cl)Cl
2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	C1=CC(C(C(=C1)Br)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
2,3-Dihydroxy-3-methylvalerate	CCC(C)(C(C(=O)O)O)O
2,3-Dihydroxy-isovalerate	CC(C)(C(C(=O)[O-])O)O
2,3-diketo5-methylthio-1-phosphopentane	
2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone	
2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)- amino-4-oxopyrimidine	
2,5-Diaminohexanoate	CC(CCC(C(=O)[O-])[NH3+])[NH3+]
2,5-Diaminopyrimidine nucleoside triphosphate	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
2,5-Dioxopentanoate	C(CC(=O)C(=O)[O-])C=O
2,6-Dioxo-6-phenylhexa-3-enoate	C1=CC=C(C=C1)C(=CC=CC(=O)C(=O)O)O
2,6-Dioxo-6-phenylhexanoate	C1=CC=C(C=C1)C(=O)CCCC(=O)C(=O)[O-]
2-(S-Glutathionyl)acetyl chloride	C(CC(=O)NC(CSCC(=O)Cl)C(=O)NCC(=O)O)C(C(=O)O)N
2-(S-Glutathionyl)acetyl glutathione	C(CC(=O)NC(CSCC(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
2-Acetamido-5-oxopentanoate	CC(=O)NC(CCC=O)C(=O)[O-]
2-Aceto-2-hydroxybutanoate	CCC(C(=O)C)(C(=O)O)O
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[NH3+]
2-Amino-3-oxo-4-phosphonooxybutyrate	C(C(=O)C(C(=O)O)N)OP(=O)(O)O
2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate	
2-Aminoadipate 6-semialdehyde	C(CC=O)CC(C(=O)O)N
2-Bromoacetaldehyde	C(C=O)Br
2-C-methyl-D-erythritol2-4-cyclodiphosphate	
2-C-methyl-D-erythritol4-phosphate	
2-Dehydro-3-deoxy-D-galactonate 6-phosphate	C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
2-Dehydro-3-deoxy-L-pentonate	C(C(CO)O)C(=O)C(=O)[O-]
